"","track_name","artist_name","album_name","artist_genres","track_popularity","artist_popularity","mood_danceability","mood_valence","mood_energy","mood_tempo","prop_loudness","prop_speechiness","prop_instrumentalness","context_liveness","context_acousticness"
"78","Hey Porsche","Nelly","M.O. (Deluxe Edition)","['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']","56","79","0.726","0.952","0.795","115.995","-4.653","0.029","0.0","0.698","0.136"
"79","Thinking About You (feat. Ayah Marar)","Calvin Harris","18 Months","['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']","65","87","0.725","0.748","0.874","127.985","-3.715","0.0396","0.000412","0.0958","0.00262"
"80","Dear Darlin'","Olly Murs","Right Place Right Time (Expanded Edition)","['dance pop', 'neo mellow', 'pop', 'pop dance', 'pop rock', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']","59","71","0.512","0.34","0.828","124.021","-4.672","0.0454","8.73e-06","0.119","0.00627"
"81","Cruise","Florida Georgia Line","Here's To The Good Times","['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']","57","80","0.457","0.878","0.948","148.0","-3.364","0.0354","0.0","0.0536","0.0191"
"82","Papaoutai","Stromae","racine carr??e","['belgian pop', 'g-house']","0","80","0.733","0.253","0.818","116.019","-7.222","0.0859","0.0","0.0636","0.0241"
"83","Fine China","Chris Brown","Fine China","['dance pop', 'pop', 'pop rap', 'r&b', 'rap']","0","90","0.659","0.609","0.735","104.038","-4.758","0.056","0.0","0.111","0.0466"
"84","This Is What It Feels Like","Armin van Buuren","Intense","['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']","66","78","0.551","0.145","0.833","129.885","-5.217","0.03","2.77e-06","0.0632","0.0391"
"85","Reload - Radio Edit","Sebastian Ingrosso","Reload (Vocal Version / Radio Edit)","['dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']","67","66","0.485","0.433","0.724","128.045","-4.633","0.0521","0.0","0.0631","0.0736"
"86","Suit & Tie (feat. Jay-Z)","Justin Timberlake","The 20/20 Experience (Deluxe Version)","['dance pop', 'pop']","67","83","0.795","0.357","0.596","101.985","-3.799","0.219","0.0","0.164","0.103"
"87","Power Trip (feat. Miguel)","J. Cole","Born Sinner","['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']","0","91","0.667","0.465","0.61","99.991","-7.054","0.217","0.000203","0.426","0.322"
"88","Home","Phillip Phillips","The World From The Side Of The Moon","['folk-pop', 'modern rock', 'neo mellow', 'pop rock']","57","67","0.606","0.322","0.826","121.04","-6.04","0.0307","1.56e-05","0.117","0.0256"
"89","Drinking from the Bottle (feat. Tinie Tempah)","Calvin Harris","18 Months","['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']","61","87","0.665","0.53","0.886","128.062","-4.175","0.0514","6.24e-05","0.0525","0.0469"
"90","Waiting All Night (feat. Ella Eyre)","Rudimental","Home (Deluxe Edition)","['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']","65","73","0.544","0.281","0.728","174.983","-5.358","0.05","0.00959","0.427","0.00264"
"91","Need U (100%) [feat. A*M*E] - Radio Edit","Duke Dumont","need u (100%) (feat. a*m*e)","['destroy techno', 'edm', 'electro house', 'house', 'pop dance', 'progressive house', 'tropical house']","27","70","0.681","0.469","0.835","124.047","-5.705","0.049","0.00183","0.354","0.00176"
"92","I Will Wait","Mumford & Sons","Babel (Deluxe Version)","['modern folk rock', 'modern rock', 'pop rock', 'stomp and holler', 'uk americana']","53","76","0.486","0.393","0.769","131.286","-5.14","0.0341","0.00832","0.197","0.0119"
"93","Bonfire Heart","James Blunt","Bonfire Heart","['neo mellow', 'pop', 'pop rock']","0","75","0.575","0.449","0.821","118.021","-5.7","0.0527","0.0","0.124","0.181"
"94","Get Up (Rattle) - Vocal Edit","Bingo Players","Get Up (Rattle)","['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']","0","65","0.801","0.722","0.985","127.99","-2.69","0.0645","6.86e-06","0.296","0.0205"
"95","Of The Night","Bastille","All This Bad Blood","['metropopolis', 'modern rock', 'pop', 'pop rock']","61","80","0.67","0.349","0.829","125.01","-7.2","0.0427","0.000225","0.089","0.0192"
"96","Animals - Radio Edit","Martin Garrix","Animals","['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']","0","82","0.593","0.0381","0.914","128.015","-5.351","0.0363","0.445","0.0714","0.00137"
"97","The Fox (What Does the Fox Say?)","Ylvis","The Fox (What Does the Fox Say?)","['comic']","63","53","0.703","0.546","0.867","128.008","-4.292","0.0453","0.0","0.119","0.107"
"98","Body Party","Ciara","Ciara","['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']","63","74","0.577","0.12","0.576","133.973","-6.299","0.0563","0.0","0.602","0.0143"
"99","Somewhere Only We Know","Lily Allen","Sheezus","['dance pop', 'pop']","60","72","0.313","0.287","0.286","80.925","-10.593","0.0324","0.0451","0.0974","0.934"
"100","Look Right Through - MK Vocal Edit","Storm Queen","Look Right Through (Remixes)","['deep disco house']","0","48","0.832","0.519","0.815","119.995","-8.035","0.081","0.00553","0.263","0.00304"
