,Rank,track_popularity,context_liveness,context_acousticness
403,4,69,0.0491,0.0904
404,5,61,0.118,0.00245
405,6,80,0.11,0.588
406,7,79,0.305,0.0422
407,8,77,0.0685,0.0197
408,9,84,0.132,0.922
409,10,78,0.114,0.00433
410,11,72,0.124,0.0573
411,12,81,0.157,0.0384
412,13,77,0.285,0.0317
413,14,73,0.327,0.000569
414,15,54,0.201,0.0885
415,16,61,0.117,0.0654
416,17,21,0.1,0.0215
417,18,79,0.593,0.000185
418,19,74,0.0829,0.0703
419,20,83,0.115,0.859
420,21,76,0.55,0.175
421,22,77,0.132,0.00489
422,23,80,0.334,0.0958
423,24,74,0.0764,0.00937
424,25,80,0.139,0.0295
425,26,79,0.334,0.0647
426,27,0,0.101,0.0193
427,28,76,0.305,0.167
428,29,80,0.119,0.225
429,30,72,0.193,0.162
430,31,64,0.323,0.019
431,32,80,0.151,0.431
432,33,0,0.204,0.0064
433,34,80,0.209,0.00617
434,35,0,0.086,0.0553
435,36,77,0.38,0.26
436,37,78,0.0558,0.0591
437,38,72,0.635,0.0113
438,39,62,0.0947,0.109
439,40,52,0.239,0.0373
440,41,73,0.159,0.0192
441,42,48,0.191,0.154
442,43,70,0.105,0.31
443,44,0,0.452,0.0132
444,45,66,0.0823,0.0966
445,46,52,0.0962,0.563
446,47,74,0.0895,0.0159
447,48,75,0.343,0.0287
448,49,58,0.142,0.053
449,50,66,0.162,0.0343
450,51,83,0.0986,0.607
451,52,67,0.109,0.192
452,53,73,0.0741,0.00218
453,54,71,0.12,0.0372
454,55,74,0.11,0.392
455,56,65,0.128,0.403
456,57,56,0.307,0.0348
457,58,75,0.188,0.746
458,59,72,0.021,0.154
459,60,65,0.214,0.0668
460,61,0,0.115,0.434
461,62,0,0.199,0.00106
462,63,62,0.177,0.000526
463,64,0,0.15,0.0915
464,65,55,0.134,0.527
465,66,62,0.143,0.0457
466,67,54,0.208,0.0697
467,68,2,0.0828,0.0309
468,69,66,0.0656,0.000792
469,70,71,0.111,0.15
470,71,73,0.0759,0.427
471,72,0,0.225,0.000739
472,73,80,0.0766,0.529
473,74,81,0.184,0.474
474,75,72,0.188,0.0168
475,76,2,0.0829,0.00821
476,77,72,0.0658,0.000132
477,78,66,0.0399,0.0467
478,79,71,0.115,0.129
479,80,2,0.107,0.874
480,81,62,0.104,0.328
481,82,73,0.12,0.558
482,83,69,0.146,0.0117
483,84,69,0.306,0.0141
484,85,69,0.0601,0.304
485,86,53,0.109,0.251
486,87,68,0.141,0.0355
487,88,67,0.336,0.00521
488,89,0,0.207,0.0239
489,90,69,0.181,0.00969
490,91,44,0.328,0.00125
491,92,67,0.0963,0.0506
492,93,69,0.0913,0.857
493,94,3,0.108,0.0883
494,95,65,0.162,0.0802
495,96,48,0.29,0.00129
496,97,0,0.0818,0.0135
497,98,59,0.0973,0.167
498,99,67,0.0851,0.00377
499,100,50,0.14,0.649
500,1,81,0.0344,0.00801
501,2,81,0.184,0.474
502,3,80,0.0649,0.369
503,4,77,0.0811,0.59
504,5,73,0.565,0.00346
505,6,75,0.0972,0.385
506,7,78,0.125,0.247
507,8,78,0.106,0.0709
508,9,79,0.124,0.343
509,10,78,0.096,0.093
510,11,82,0.0913,0.103
511,12,76,0.119,0.0598
512,13,76,0.0452,0.304
513,14,78,0.0486,0.0152
514,15,1,0.317,0.0352
515,16,80,0.694,0.0921
516,17,0,0.0853,0.00441
517,18,79,0.0657,0.109
518,19,70,0.139,0.0294
519,20,84,0.249,0.0166
520,21,0,0.189,0.141
521,22,0,0.0763,0.0526
522,23,78,0.322,0.213
523,24,77,0.118,0.00245
524,25,72,0.317,0.375
525,26,73,0.269,0.00312
526,27,0,0.28,0.835
527,28,74,0.0764,0.00937
528,29,79,0.198,0.31
529,30,81,0.257,0.00701
530,31,0,0.149,0.0029
531,32,0,0.256,0.00407
532,33,45,0.215,0.00543
533,34,72,0.0874,0.0266
534,35,69,0.214,0.0223
535,36,80,0.299,0.0797
536,37,83,0.135,0.0671
537,38,1,0.172,0.0356
538,39,66,0.0823,0.0966
539,40,77,0.177,0.4
540,41,75,0.325,0.24
541,42,0,0.11,0.322
542,43,76,0.155,0.0549
543,44,85,0.123,0.0678
544,45,73,0.118,0.063
545,46,2,0.095,0.303
546,47,70,0.111,0.0506
547,48,70,0.294,0.0118
548,49,76,0.388,0.0392
549,50,64,0.142,0.053
550,51,64,0.0869,0.00188
551,52,77,0.16,0.166
552,53,1,0.105,0.0142
553,54,71,0.108,0.12
554,55,0,0.28,0.00621
555,56,77,0.13,0.875
556,57,0,0.351,0.0289
557,58,78,0.105,0.113
558,59,74,0.625,0.00256
559,60,73,0.0789,0.041
560,61,64,0.0973,0.00795
561,62,68,0.349,0.417
562,63,81,0.116,0.634
563,64,77,0.0504,0.00258
564,65,74,0.0856,0.00711
565,66,76,0.128,0.0215
566,67,71,0.208,0.0697
567,68,74,0.109,0.00906
568,69,67,0.342,0.0147
569,70,77,0.112,0.213
570,71,0,0.0863,0.264
571,72,0,0.382,0.0665
572,73,65,0.817,0.0288
573,74,0,0.0793,0.0804
574,75,83,0.0602,0.0462
575,76,66,0.0656,0.000792
576,77,68,0.0902,0.205
577,78,67,0.354,0.0244
578,79,0,0.0741,0.154
579,80,70,0.0851,0.0399
580,81,69,0.115,0.456
581,82,60,0.0666,0.0948
582,83,67,0.0793,0.0242
583,84,49,0.111,0.759
584,85,67,0.299,0.484
585,86,44,0.11,0.679
586,87,79,0.102,0.00359
587,88,69,0.126,0.0128
588,89,68,0.0869,0.817
589,90,0,0.0463,0.0696
590,91,2,0.0854,0.329
591,92,49,0.233,0.0375
592,93,66,0.117,0.175
593,94,73,0.257,0.0509
594,95,32,0.131,0.466
595,96,62,0.104,0.328
596,97,78,0.0963,0.223
597,98,76,0.163,0.0185
598,99,0,0.334,0.234
599,100,68,0.118,0.0242
600,1,0,0.134,0.165
601,2,84,0.329,0.00776
602,3,0,0.28,0.835
603,4,83,0.111,0.414
604,5,1,0.0854,0.329
605,6,70,0.366,0.028
606,7,0,0.0962,0.082
607,8,67,0.0775,0.0561
608,9,3,0.145,0.0162
609,10,75,0.0919,0.0752
610,11,86,0.0943,0.0371
611,12,80,0.299,0.0797
612,13,76,0.191,0.0123
613,14,59,0.089,0.104
614,15,73,0.147,0.102
615,16,45,0.269,0.00312
616,17,79,0.179,0.621
617,18,70,0.27,0.0915
618,19,1,0.11,0.0239
619,20,79,0.0825,0.11
620,21,82,0.107,0.106
621,22,71,0.108,0.12
622,23,0,0.156,0.0736
623,24,1,0.178,0.141
624,25,79,0.148,0.199
625,26,73,0.309,0.0435
626,27,0,0.104,0.379
627,28,76,0.454,0.109
628,29,82,0.325,0.211
629,30,0,0.292,0.0408
630,31,74,0.0939,0.308
631,32,72,0.064,0.0352
632,33,70,0.0933,0.0584
633,34,0,0.0902,0.63
634,35,58,0.122,0.699
635,36,2,0.095,0.303
636,37,69,0.214,0.0223
637,38,65,0.311,0.147
638,39,68,0.144,0.253
639,40,0,0.353,0.0612
640,41,0,0.0504,0.00347
641,42,81,0.135,0.0863
642,43,1,0.0733,0.225
643,44,77,0.0843,0.0353
644,45,78,0.0963,0.223
645,46,75,0.0644,0.103
646,47,1,0.172,0.0356
647,48,77,0.158,0.0184
648,49,73,0.1,0.0489
649,50,73,0.124,0.0862
650,51,65,0.0841,0.0783
651,52,61,0.197,0.364
652,53,59,0.159,0.0431
653,54,0,0.201,0.0362
654,55,67,0.253,0.00175
655,56,64,0.0584,0.011
656,57,77,0.101,0.687
657,58,0,0.0549,0.0199
658,59,63,0.0574,0.00383
659,60,67,0.342,0.0147
660,61,76,0.128,0.0215
661,62,0,0.138,0.00451
662,63,67,0.24,0.0282
663,64,78,0.136,0.157
664,65,0,0.277,0.372
665,66,70,0.126,0.204
666,67,79,0.0371,0.152
667,68,80,0.113,0.00835
668,69,0,0.0515,0.256
669,70,49,0.15,0.548
670,71,76,0.135,0.107
671,72,0,0.163,0.441
672,73,79,0.415,0.67
673,74,69,0.737,0.0124
674,75,61,0.0526,0.023
675,76,72,0.101,0.0789
676,77,70,0.115,0.403
677,78,72,0.0889,0.965
678,79,57,0.176,0.0812
679,80,67,0.0905,0.0022
680,81,74,0.161,0.093
681,82,60,0.119,0.0997
682,83,50,0.257,0.161
683,84,53,0.0616,0.0731
684,85,60,0.482,0.085
685,86,0,0.123,0.0118
686,87,63,0.0705,0.0692
687,88,54,0.105,0.572
688,89,0,0.129,0.343
689,90,68,0.108,0.0114
690,91,62,0.057,0.236
691,92,76,0.149,0.00205
692,93,78,0.391,0.287
693,94,75,0.65,0.255
694,95,46,0.336,0.0553
695,96,73,0.146,0.337
696,97,65,0.0756,0.014
697,98,55,0.134,0.615
698,99,0,0.0727,0.379
699,100,1,0.307,0.453
700,1,84,0.0931,0.581
701,2,0,0.234,0.281
702,3,0,0.112,0.209
703,4,78,0.169,0.64
704,5,75,0.18,0.406
705,6,2,0.104,0.186
706,7,1,0.155,0.00683
707,8,68,0.0983,0.343
708,9,82,0.164,0.0498
709,10,84,0.106,0.163
710,11,0,0.0913,0.381
711,12,73,0.33,0.0041
712,13,75,0.111,0.0285
713,14,77,0.106,0.102
714,15,83,0.206,0.0466
715,16,76,0.0841,0.0337
716,17,0,0.0424,0.118
717,18,0,0.0848,0.0969
718,19,73,0.0939,0.0215
719,20,60,0.104,0.15
720,21,83,0.0902,0.695
721,22,82,0.0944,0.013
722,23,0,0.111,0.118
723,24,60,0.114,0.00261
724,25,75,0.116,0.253
725,26,67,0.106,0.0575
726,27,51,0.0516,0.091
727,28,72,0.0853,0.0478
728,29,77,0.261,0.0895
729,30,0,0.325,0.0631
730,31,77,0.327,0.0735
731,32,0,0.29,0.0214
732,33,67,0.225,0.219
733,34,61,0.0813,0.0037
734,35,80,0.0829,0.469
735,36,79,0.165,0.199
736,37,79,0.135,0.536
737,38,75,0.0864,0.119
738,39,71,0.0921,0.054
739,40,0,0.423,0.04
740,41,83,0.0795,0.896
741,42,0,0.194,0.0435
742,43,77,0.14,0.0232
743,44,76,0.126,0.204
744,45,77,0.0456,0.00163
745,46,0,0.164,0.206
746,47,67,0.285,0.00778
747,48,1,0.0765,0.246
748,49,0,0.29,0.0323
749,50,0,0.306,0.00459
750,51,72,0.197,0.0527
751,52,0,0.308,0.0534
752,53,0,0.0855,0.0786
753,54,63,0.122,0.0313
754,55,78,0.153,0.034
755,56,74,0.055,0.011
756,57,0,0.067,0.157
757,58,74,0.0813,0.0767
758,59,64,0.0513,0.158
759,60,71,0.167,0.0552
760,61,0,0.0609,0.413
761,62,73,0.112,0.0323
762,63,78,0.0943,0.0642
763,64,81,0.104,0.0293
764,65,57,0.15,0.127
765,66,53,0.0683,0.134
766,67,62,0.0563,0.00638
767,68,48,0.159,0.0605
768,69,0,0.184,0.137
769,70,69,0.062,0.0204
770,71,57,0.0839,0.0853
771,72,73,0.0906,0.0281
772,73,74,0.187,0.075
773,74,64,0.362,0.167
774,75,73,0.0879,0.0209
775,76,0,0.0972,0.158
776,77,0,0.198,0.568
777,78,62,0.256,0.222
778,79,82,0.109,0.0275
779,80,69,0.0711,0.226
780,81,78,0.0898,0.33
781,82,81,0.253,0.215
782,83,67,0.0911,0.152
783,84,1,0.14,0.0524
784,85,4,0.123,0.00522
785,86,0,0.109,0.48
786,87,71,0.229,0.378
787,88,64,0.099,0.197
788,89,77,0.0679,0.428
789,90,69,0.199,0.0814
790,91,66,0.131,0.107
791,92,79,0.117,0.0362
792,93,0,0.0789,0.0717
793,94,78,0.196,0.0689
794,95,62,0.104,0.0364
795,96,72,0.254,0.498
796,97,70,0.0429,0.00175
797,98,72,0.118,0.0329
798,99,7,0.127,0.229
799,100,52,0.134,0.0178
800,1,81,0.552,0.0332
801,2,83,0.131,0.124
802,3,81,0.104,0.535
803,4,80,0.137,0.0372
804,5,69,0.124,0.0169
805,6,83,0.34,0.349
806,7,79,0.112,0.171
807,8,78,0.128,0.205
808,9,78,0.372,0.099
809,10,71,0.122,0.0716
810,11,77,0.294,0.04
811,12,80,0.0926,0.0605
812,13,80,0.0814,0.037
813,14,76,0.0841,0.0337
814,15,86,0.095,0.934
815,16,68,0.11,0.0984
816,17,79,0.17,0.256
817,18,78,0.237,0.0233
818,19,78,0.0824,0.0403
819,20,75,0.308,0.0534
820,21,79,0.135,0.331
821,22,75,0.116,0.555
822,23,69,0.109,0.147
823,24,74,0.137,0.181
824,25,72,0.0912,0.0558
825,26,81,0.167,0.191
826,27,73,0.0215,0.0185
827,28,78,0.204,0.124
828,29,73,0.134,0.0956
829,30,82,0.155,0.113
830,31,80,0.307,0.17
831,32,66,0.0865,0.0733
832,33,79,0.179,0.312
833,34,72,0.0586,0.374
834,35,70,0.0955,0.299
835,36,70,0.0618,0.000254
836,37,70,0.203,0.327
837,38,75,0.451,0.0161
838,39,74,0.083,0.047
839,40,72,0.0893,0.0604
840,41,82,0.123,0.258
841,42,78,0.0813,0.697
842,43,80,0.153,0.264
843,44,67,0.191,0.811
844,45,71,0.0537,0.00413
845,46,53,0.0962,0.178
846,47,72,0.107,0.225
847,48,72,0.0383,0.211
848,49,75,0.0911,0.216
849,50,71,0.325,0.0305
850,51,81,0.102,0.556
851,52,73,0.165,0.194
852,53,64,0.0628,0.314
853,54,69,0.111,0.0762
854,55,75,0.0642,0.157
855,56,71,0.171,0.802
856,57,75,0.396,0.0589
857,58,78,0.0984,0.883
858,59,80,0.114,0.149
859,60,73,0.13,0.568
860,61,70,0.132,0.0312
861,62,74,0.13,0.0573
862,63,77,0.111,0.546
863,64,67,0.0688,0.193
864,65,72,0.231,0.0659
865,66,71,0.162,0.648
866,67,81,0.124,0.00513
867,68,68,0.12,0.109
868,69,61,0.107,0.0959
869,70,71,0.35,0.0441
870,71,0,0.0543,0.0476
871,72,77,0.119,0.0891
872,73,55,0.062,0.0615
873,74,73,0.101,0.0236
874,75,62,0.12,0.0228
875,76,70,0.222,0.484
876,77,72,0.0713,0.142
877,78,64,0.094,0.0233
878,79,61,0.157,0.0167
879,80,74,0.106,0.0876
880,81,64,0.0696,0.00149
881,82,71,0.742,0.0145
882,83,67,0.0952,0.0256
883,84,76,0.242,0.286
884,85,79,0.108,0.0355
885,86,56,0.454,0.0387
886,87,41,0.136,0.088
887,88,72,0.159,0.00263
888,89,69,0.0761,0.0425
889,90,77,0.104,0.0165
890,91,76,0.248,0.194
891,92,67,0.078,0.0862
892,93,59,0.0834,0.0784
893,94,56,0.106,0.25
894,95,60,0.0959,0.279
895,96,72,0.0725,0.000239
896,97,70,0.15,0.0791
897,98,59,0.0781,0.00565
898,99,71,0.128,0.000813
899,100,79,0.0812,0.217
900,1,78,0.113,0.0533
901,2,83,0.1,0.328
902,3,78,0.0828,0.0392
903,4,83,0.0881,0.592
904,5,79,0.0685,0.533
905,6,77,0.111,0.153
906,7,77,0.0936,0.297
907,8,79,0.0952,0.0125
908,9,82,0.231,0.371
909,10,77,0.159,0.119
910,11,84,0.105,0.751
911,12,78,0.105,0.117
912,13,24,0.21,0.576
913,14,73,0.147,0.524
914,15,79,0.106,0.0427
915,16,72,0.316,0.194
916,17,2,0.242,0.176
917,18,81,0.118,0.492
918,19,83,0.115,0.0933
919,20,80,0.101,0.229
920,21,72,0.0801,0.124
921,22,1,0.0977,0.489
922,23,34,0.192,0.0923
923,24,82,0.124,0.74
924,25,70,0.14,0.0984
925,26,73,0.0894,0.0902
926,27,73,0.0832,0.0642
927,28,73,0.0763,0.153
928,29,76,0.106,0.0421
929,30,86,0.095,0.934
930,31,69,0.105,0.0771
931,32,84,0.0863,0.192
932,33,7,0.166,0.0691
933,34,70,0.3,0.0192
934,35,77,0.0793,0.296
935,36,78,0.388,0.00987
936,37,75,0.0637,0.00929
