Rank,track_name,artist_name,album_name,artist_genres,track_popularity,artist_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo,prop_loudness,prop_speechiness,prop_instrumentalness,context_liveness,context_acousticness
59,For the First Time,The Script,Science & Faith,"['celtic rock', 'dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rock']",66,78,0.388,0.381,0.633,173.947,-4.769,0.0275,0.0,0.104,0.0339
60,Find Your Love,Drake,Thank Me Later (Int'l Version),"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",55,98,0.625,0.738,0.613,96.033,-6.005,0.173,0.0,0.0286,0.0209
61,Kickstarts,Example,Won't Go Quietly,"['dance pop', 'hip house', 'house', 'pop dance', 'tropical house', 'uk dance']",62,64,0.61,0.657,0.836,126.056,-4.455,0.0573,0.0,0.358,0.00374
62,Deuces (feat. Tyga & Kevin McCall),Chris Brown,F.A.M.E. (Expanded Edition),"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",68,90,0.692,0.217,0.736,73.987,-5.109,0.11,0.0,0.0787,0.0324
63,Wavin' Flag,K'NAAN,Troubadour,['reggae fusion'],57,68,0.625,0.717,0.699,75.974,-6.416,0.0729,0.0,0.238,0.13
64,Stuck Like Glue,Sugarland,The Incredible Machine,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",67,65,0.702,0.836,0.795,83.961,-4.764,0.0568,0.0,0.0505,0.329
65,Carry Out (Featuring Justin Timberlake),Timbaland,Shock Value II,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'urban contemporary']",69,81,0.531,0.272,0.574,115.68,-6.693,0.113,0.0308,0.256,0.114
66,Seek Bromance - Avicii???s Vocal Edit,Tim Berg,Seek Bromance,"['edm', 'pop dance', 'progressive electro house']",0,54,0.515,0.52,0.837,126.026,-2.552,0.0401,0.0,0.0403,0.0868
67,Don't Stop Believin' (Glee Cast Version),Glee Cast,"Glee: The Music, Volume 1","['glee club', 'hollywood', 'post-teen pop']",60,76,0.473,0.271,0.604,123.848,-4.034,0.0337,0.0,0.103,0.0376
68,Starstrukk,3OH!3,Teenage Dream,"['dance pop', 'electropowerpop', 'modern rock', 'pop', 'pop punk', 'pop rap']",31,68,0.605,0.263,0.795,139.896,-6.086,0.0712,0.0,0.207,0.00153
69,Alejandro,Lady Gaga,The Fame Monster (Deluxe Edition),"['art pop', 'dance pop', 'pop']",67,88,0.623,0.36,0.793,98.998,-6.63,0.0462,0.0015,0.375,0.000397
70,Whataya Want from Me,Adam Lambert,For Your Entertainment,"['dance pop', 'idol', 'pop', 'post-teen pop']",56,66,0.438,0.457,0.672,185.934,-4.706,0.0429,0.0,0.0583,0.0055
71,Today Was A Fairytale,Taylor Swift,Today Was A Fairytale,['pop'],50,98,0.491,0.344,0.703,157.988,-4.5,0.0319,5.72e-06,0.167,0.0307
72,Can't Be Tamed,Miley Cyrus,Can't Be Tamed,"['dance pop', 'pop', 'post-teen pop']",0,87,0.63,0.743,0.91,116.98,-2.919,0.144,0.0,0.196,0.0287
73,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)","['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",50,82,0.544,0.277,0.781,150.1,-3.616,0.189,0.0,0.161,0.014
74,Written in the Stars (feat. Eric Turner),Tinie Tempah,Written in the Stars (feat. Eric Turner),"['dance pop', 'edm', 'grime', 'house', 'pop dance', 'pop rap', 'tropical house']",57,68,0.656,0.534,0.931,91.881,-4.188,0.0981,0.0,0.219,0.0613
75,Empire State of Mind (Part II) Broken Down,Alicia Keys,The Element Of Freedom,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",71,83,0.484,0.142,0.368,92.923,-7.784,0.0341,3.82e-05,0.118,0.74
76,Need You Now,Lady A,Need You Now,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow']",72,73,0.581,0.316,0.717,107.884,-4.433,0.0318,0.000186,0.243,0.0298
77,Teach Me How to Dougie,Cali Swag District,The Kickback,['pop rap'],65,54,0.846,0.512,0.438,85.013,-4.981,0.141,9.43e-05,0.0939,0.2
78,Say Aah (feat. Fabolous),Trey Songz,Ready,"['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",54,76,0.724,0.81,0.87,93.01,-3.614,0.113,0.0,0.833,0.00453
79,When We Collide,Matt Cardle,Letters (Deluxe Edition),['talent show'],46,40,0.443,0.447,0.683,81.986,-5.521,0.0343,5.26e-06,0.313,0.0198
80,Young Forever,JAY-Z,The Blueprint 3,"['east coast hip hop', 'hip hop', 'rap']",65,88,0.637,0.103,0.69,140.329,-3.214,0.0693,0.0,0.211,0.417
81,Live Like We're Dying,Kris Allen,Kris Allen,"['idol', 'indiecoustica', 'neo mellow', 'post-teen pop']",51,48,0.589,0.94,0.893,92.011,-2.948,0.0397,0.0,0.343,0.0273
82,Blah Blah Blah (feat. 3OH!3),Kesha,Animal (Expanded Edition),"['dance pop', 'electropop', 'pop', 'post-teen pop']",60,82,0.752,0.519,0.836,120.003,-3.173,0.115,0.000425,0.424,0.0843
83,Half of My Heart,John Mayer,Battle Studies,"['neo mellow', 'pop rock', 'singer-songwriter']",62,82,0.681,0.731,0.593,115.058,-9.327,0.0251,0.000117,0.106,0.435
84,Commander,Kelly Rowland,Here I Am (Int'l Version),"['atl hip hop', 'dance pop', 'hip pop', 'pop', 'pop r&b', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",59,71,0.395,0.567,0.876,124.638,-3.859,0.138,8.46e-06,0.362,0.0173
85,Over,Drake,Thank Me Later (Int'l Version),"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",57,98,0.325,0.433,0.848,100.093,-5.611,0.279,0.0,0.124,0.0109
86,Dancing On My Own,Robyn,Body Talk pt. 1,"['art pop', 'dance pop', 'electropop', 'europop', 'pop', 'scandipop', 'swedish electropop', 'swedish pop']",0,66,0.687,0.261,0.865,117.015,-4.663,0.0349,0.225,0.0966,0.0743
87,Pass Out,Tinie Tempah,Disc-Overy,"['dance pop', 'edm', 'grime', 'house', 'pop dance', 'pop rap', 'tropical house']",53,68,0.693,0.532,0.891,91.1,-3.261,0.296,0.0,0.143,0.0281
88,The Time (Dirty Bit),Black Eyed Peas,The Beginning (Deluxe),"['dance pop', 'pop', 'pop rap']",69,84,0.816,0.436,0.813,127.979,-7.798,0.0664,2.77e-06,0.602,0.0662
89,King of Anything,Sara Bareilles,Kaleidoscope Heart,"['acoustic pop', 'dance pop', 'hollywood', 'lilith', 'neo mellow', 'pop', 'pop rock']",60,71,0.676,0.81,0.762,119.003,-4.172,0.0351,0.0,0.0574,0.461
90,Hey Daddy (Daddy's Home),Usher,Raymond v Raymond (Expanded Edition),"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",60,83,0.59,0.352,0.698,95.975,-4.262,0.0286,0.0,0.107,0.000176
91,What You Know,Two Door Cinema Club,Tourist History,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie', 'pop rock', 'rock']",0,72,0.55,0.841,0.753,139.048,-4.003,0.0407,7.74e-06,0.0921,0.000665
92,Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,Swedish House Mafia,Disc-Overy,"['edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']",54,81,0.736,0.658,0.929,125.03,-5.89,0.0674,1.11e-05,0.402,0.00237
93,My Chick Bad,Ludacris,Battle Of The Sexes (Deluxe),"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",68,81,0.624,0.757,0.723,84.789,-6.782,0.378,0.0,0.483,0.172
94,The Flood,Take That,Progress,"['boy band', 'dance pop', 'europop']",57,67,0.514,0.138,0.83,100.631,-6.077,0.044,1.43e-06,0.122,0.0378
95,Gettin' Over You (feat. Fergie & LMFAO),David Guetta,One More Love,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",62,91,0.615,0.45,0.913,129.944,-5.077,0.0816,0.0,0.0773,0.178
96,Starry Eyed,Ellie Goulding,Bright Lights (Lights Re-pack / Bonus Version),"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",54,81,0.504,0.596,0.814,149.967,-5.346,0.0389,1.42e-05,0.324,0.135
97,Right Above It,Lil Wayne,I Am Not A Human Being,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",68,91,0.376,0.463,0.841,76.052,-4.348,0.356,0.0,0.578,0.0435
98,Hot - Play & Win Radio Version,INNA,Hot,"['dance pop', 'romanian house', 'romanian pop']",41,74,0.817,0.599,0.939,128.0,-6.079,0.28,0.441,0.431,0.0798
99,Beautiful Monster,Ne-Yo,Libra Scale,"['dance pop', 'pop', 'r&b', 'urban contemporary']",57,82,0.708,0.494,0.771,128.013,-6.99,0.131,5.32e-06,0.277,0.209
100,Man Down,Rihanna,Loud,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",68,92,0.47,0.557,0.904,155.788,-4.024,0.177,0.0,0.0491,0.0436
1,Rolling in the Deep,Adele,21,"['british soul', 'pop', 'pop soul', 'uk pop']",2,90,0.73,0.507,0.77,104.948,-5.114,0.0298,0.0,0.0473,0.138
2,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,Hands All Over (Revised International Standard version),"['pop', 'pop rock']",76,90,0.722,0.624,0.761,128.044,-4.459,0.0475,0.0,0.315,0.0117
3,Party Rock Anthem,LMFAO,Sorry For Party Rocking,"['dance pop', 'pop rap']",72,72,0.751,0.352,0.736,130.014,-4.168,0.156,0.0,0.265,0.0206
4,Firework,Katy Perry,Teenage Dream,"['dance pop', 'pop', 'post-teen pop']",72,88,0.638,0.648,0.832,124.071,-5.039,0.049,0.0,0.113,0.141
5,Grenade,Bruno Mars,Doo-Wops & Hooligans,"['dance pop', 'pop']",77,92,0.704,0.245,0.558,110.444,-7.273,0.0542,0.0,0.107,0.148
6,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,The Papercut Chronicles II,"['dance pop', 'pop rap']",81,74,0.646,0.796,0.795,89.99,-3.293,0.0976,0.0,0.267,0.0319
7,On The Floor,Jennifer Lopez,Love?,"['dance pop', 'pop', 'pop rap', 'urban contemporary']",79,81,0.73,0.575,0.777,130.0,-5.194,0.0496,0.000478,0.0691,0.105
8,Love You Like A Love Song,Selena Gomez & The Scene,When The Sun Goes Down,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",79,73,0.858,0.922,0.678,117.009,-3.87,0.0469,0.0,0.0741,0.0761
9,Last Friday Night (T.G.I.F.),Katy Perry,Teenage Dream: The Complete Confection,"['dance pop', 'pop', 'post-teen pop']",74,88,0.649,0.765,0.815,126.03,-3.796,0.0415,4.31e-05,0.671,0.00125
10,Glad You Came,The Wanted,Battleground (Deluxe Edition),"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",77,71,0.722,0.452,0.851,126.885,-3.873,0.0639,0.0,0.108,0.0319
11,Super Bass,Nicki Minaj,Pink Friday,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']",1,90,0.72,0.669,0.861,126.991,-4.339,0.209,5.11e-06,0.601,0.269
12,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,Planet Pit (Deluxe Version),"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",81,87,0.671,0.53,0.939,129.024,-3.206,0.161,0.0,0.298,0.191
13,We Found Love,Rihanna,Talk That Talk,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",75,92,0.735,0.6,0.766,127.985,-4.485,0.0383,0.00138,0.108,0.025
14,What the Hell,Avril Lavigne,Goodbye Lullaby (Expanded Edition),"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",74,81,0.578,0.877,0.926,149.976,-3.689,0.0548,0.0127,0.14,0.00472
15,Who's That Chick? (feat. Rihanna),David Guetta,One More Love,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",71,91,0.675,0.933,0.602,127.938,-4.733,0.116,0.0,0.0458,0.00377
16,Marry You,Bruno Mars,Doo-Wops & Hooligans,"['dance pop', 'pop']",75,92,0.621,0.452,0.82,144.905,-4.865,0.0367,0.0,0.104,0.332
17,Who Says,Selena Gomez & The Scene,When The Sun Goes Down,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",75,73,0.682,0.744,0.927,101.019,-2.915,0.0479,0.0,0.149,0.0843
18,You Make Me Feel... (feat. Sabi),Cobra Starship,Night Shades,"['dance pop', 'electropop', 'neon pop punk', 'pop punk', 'post-teen pop']",70,63,0.668,0.748,0.857,131.959,-2.944,0.0535,6.71e-06,0.0385,0.0191
19,S&M,Rihanna,Loud,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",72,92,0.767,0.833,0.682,127.975,-5.02,0.042,0.00016,0.104,0.0113
20,Price Tag,Jessie J,Who You Are (Platinum Edition),"['dance pop', 'pop', 'pop rap', 'post-teen pop']",73,76,0.636,0.668,0.831,175.015,-3.945,0.182,3.85e-06,0.272,0.0294
21,Without You (feat. Usher),David Guetta,Nothing but the Beat (Ultimate Edition),"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",69,91,0.608,0.402,0.614,127.884,-3.727,0.0285,4.06e-06,0.157,0.227
22,Just Can???t Get Enough,Black Eyed Peas,The Beginning,"['dance pop', 'pop', 'pop rap']",75,84,0.659,0.262,0.628,94.05,-8.685,0.179,0.0,0.105,0.186
23,Raise Your Glass,P!nk,Raise Your Glass,"['dance pop', 'pop']",75,84,0.7,0.624,0.709,122.019,-5.006,0.0838,0.0,0.029,0.0048
24,It Girl,Jason Derulo,Future History (Deluxe Edition),"['dance pop', 'pop', 'pop rap', 'post-teen pop']",70,85,0.668,0.345,0.718,91.993,-4.736,0.0605,0.0,0.104,0.0165
25,What's My Name?,Rihanna,Loud,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",66,92,0.692,0.583,0.786,100.025,-2.959,0.069,0.0,0.0797,0.23
26,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,Nothing but the Beat (Ultimate Edition),"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",72,91,0.666,0.552,0.876,129.884,-3.078,0.0414,0.0,0.259,0.055
27,Best Thing I Never Had,Beyonc??,4,"['dance pop', 'pop', 'r&b']",68,87,0.545,0.297,0.649,99.099,-4.062,0.0324,1.57e-05,0.0894,0.143
28,Mr. Saxobeat,Alexandra Stan,Saxobeats,"['dance pop', 'electropop', 'romanian pop']",0,65,0.726,0.797,0.931,126.976,-4.152,0.0468,0.000283,0.143,0.0218
29,Born This Way,Lady Gaga,Born This Way (International Special Edition Version),"['art pop', 'dance pop', 'pop']",72,88,0.587,0.494,0.828,123.907,-5.108,0.161,0.0,0.331,0.00327
