Rank,artist_genres,track_popularity,artist_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo,prop_loudness,prop_speechiness,prop_instrumentalness,context_liveness,context_acousticness
96,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",54,81,0.504,0.596,0.814,149.967,-5.346,0.0389,1.42e-05,0.324,0.135
97,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",68,91,0.376,0.463,0.841,76.052,-4.348,0.356,0.0,0.578,0.0435
98,"['dance pop', 'romanian house', 'romanian pop']",41,74,0.817,0.599,0.939,128.0,-6.079,0.28,0.441,0.431,0.0798
99,"['dance pop', 'pop', 'r&b', 'urban contemporary']",57,82,0.708,0.494,0.771,128.013,-6.99,0.131,5.32e-06,0.277,0.209
100,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",68,92,0.47,0.557,0.904,155.788,-4.024,0.177,0.0,0.0491,0.0436
1,"['british soul', 'pop', 'pop soul', 'uk pop']",2,90,0.73,0.507,0.77,104.948,-5.114,0.0298,0.0,0.0473,0.138
2,"['pop', 'pop rock']",76,90,0.722,0.624,0.761,128.044,-4.459,0.0475,0.0,0.315,0.0117
3,"['dance pop', 'pop rap']",72,72,0.751,0.352,0.736,130.014,-4.168,0.156,0.0,0.265,0.0206
4,"['dance pop', 'pop', 'post-teen pop']",72,88,0.638,0.648,0.832,124.071,-5.039,0.049,0.0,0.113,0.141
5,"['dance pop', 'pop']",77,92,0.704,0.245,0.558,110.444,-7.273,0.0542,0.0,0.107,0.148
6,"['dance pop', 'pop rap']",81,74,0.646,0.796,0.795,89.99,-3.293,0.0976,0.0,0.267,0.0319
7,"['dance pop', 'pop', 'pop rap', 'urban contemporary']",79,81,0.73,0.575,0.777,130.0,-5.194,0.0496,0.000478,0.0691,0.105
8,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",79,73,0.858,0.922,0.678,117.009,-3.87,0.0469,0.0,0.0741,0.0761
9,"['dance pop', 'pop', 'post-teen pop']",74,88,0.649,0.765,0.815,126.03,-3.796,0.0415,4.31e-05,0.671,0.00125
10,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",77,71,0.722,0.452,0.851,126.885,-3.873,0.0639,0.0,0.108,0.0319
11,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']",1,90,0.72,0.669,0.861,126.991,-4.339,0.209,5.11e-06,0.601,0.269
12,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",81,87,0.671,0.53,0.939,129.024,-3.206,0.161,0.0,0.298,0.191
13,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",75,92,0.735,0.6,0.766,127.985,-4.485,0.0383,0.00138,0.108,0.025
14,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",74,81,0.578,0.877,0.926,149.976,-3.689,0.0548,0.0127,0.14,0.00472
15,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",71,91,0.675,0.933,0.602,127.938,-4.733,0.116,0.0,0.0458,0.00377
16,"['dance pop', 'pop']",75,92,0.621,0.452,0.82,144.905,-4.865,0.0367,0.0,0.104,0.332
17,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",75,73,0.682,0.744,0.927,101.019,-2.915,0.0479,0.0,0.149,0.0843
18,"['dance pop', 'electropop', 'neon pop punk', 'pop punk', 'post-teen pop']",70,63,0.668,0.748,0.857,131.959,-2.944,0.0535,6.71e-06,0.0385,0.0191
19,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",72,92,0.767,0.833,0.682,127.975,-5.02,0.042,0.00016,0.104,0.0113
20,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",73,76,0.636,0.668,0.831,175.015,-3.945,0.182,3.85e-06,0.272,0.0294
21,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",69,91,0.608,0.402,0.614,127.884,-3.727,0.0285,4.06e-06,0.157,0.227
22,"['dance pop', 'pop', 'pop rap']",75,84,0.659,0.262,0.628,94.05,-8.685,0.179,0.0,0.105,0.186
23,"['dance pop', 'pop']",75,84,0.7,0.624,0.709,122.019,-5.006,0.0838,0.0,0.029,0.0048
24,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",70,85,0.668,0.345,0.718,91.993,-4.736,0.0605,0.0,0.104,0.0165
25,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",66,92,0.692,0.583,0.786,100.025,-2.959,0.069,0.0,0.0797,0.23
26,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",72,91,0.666,0.552,0.876,129.884,-3.078,0.0414,0.0,0.259,0.055
27,"['dance pop', 'pop', 'r&b']",68,87,0.545,0.297,0.649,99.099,-4.062,0.0324,1.57e-05,0.0894,0.143
28,"['dance pop', 'electropop', 'romanian pop']",0,65,0.726,0.797,0.931,126.976,-4.152,0.0468,0.000283,0.143,0.0218
29,"['art pop', 'dance pop', 'pop']",72,88,0.587,0.494,0.828,123.907,-5.108,0.161,0.0,0.331,0.00327
30,"['dance pop', 'electropop', 'pop', 'post-teen pop']",71,82,0.736,0.653,0.817,119.95,-4.9,0.0407,0.00167,0.117,0.00987
31,"['british soul', 'pop', 'pop soul', 'uk pop']",2,90,0.603,0.445,0.67,107.995,-3.882,0.0249,1.66e-06,0.112,0.00408
32,"['permanent wave', 'pop']",82,92,0.449,0.212,0.585,139.631,-6.761,0.0268,8.75e-05,0.0833,0.0509
33,"['dance pop', 'pop', 'post-teen pop']",65,88,0.62,0.76,0.869,151.684,-5.252,0.175,0.0,0.369,0.0181
34,"['dance pop', 'pop', 'r&b']",49,87,0.652,0.651,0.749,94.103,-5.248,0.0886,0.0,0.604,0.0848
35,"['asian american hip hop', 'dance pop', 'pop rap']",61,70,0.664,0.357,0.845,96.005,-6.115,0.0461,0.0,0.267,0.181
36,"['dance pop', 'dance rock', 'neon pop punk', 'pop', 'pop punk', 'pop rap', 'pop rock', 'post-teen pop', 'viral pop']",73,65,0.686,0.814,0.783,99.978,-4.977,0.119,0.0,0.163,0.0764
37,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",68,90,0.705,0.7,0.882,130.0,-3.201,0.0445,1.16e-06,0.0934,0.000369
38,"['dance pop', 'pop']",60,84,0.563,0.45,0.671,91.964,-4.788,0.0373,0.0,0.36,0.0422
39,"['art pop', 'dance pop', 'pop']",66,88,0.583,0.357,0.768,127.952,-6.477,0.041,0.0162,0.109,0.000323
40,"['dance pop', 'pop']",75,92,0.794,0.955,0.711,174.915,-5.124,0.0699,0.0,0.0955,0.3
41,"['dance pop', 'electropop', 'pop', 'post-teen pop']",62,67,0.66,0.674,0.797,110.955,-6.096,0.0262,0.000108,0.187,0.00646
42,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",66,83,0.551,0.794,0.893,125.083,-2.628,0.0543,0.0,0.348,0.00166
43,"['dance pop', 'electropop', 'pop', 'post-teen pop']",69,82,0.753,0.812,0.729,120.013,-3.862,0.0392,5.66e-05,0.073,0.00334
44,"['dance pop', 'piano rock', 'pop', 'pop rock']",72,86,0.634,0.645,0.69,94.988,-7.804,0.052,0.0,0.132,0.0771
45,"['british soul', 'pop', 'pop soul', 'uk pop']",4,90,0.554,0.288,0.321,135.047,-8.251,0.028,0.0,0.0996,0.893
46,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",68,65,0.676,0.144,0.695,90.268,-8.327,0.245,0.0,0.119,0.352
47,"['pop', 'uk pop']",71,96,0.592,0.565,0.637,159.701,-8.48,0.0992,0.0,0.13,0.562
48,"['dance pop', 'pop', 'post-teen pop']",66,84,0.696,0.787,0.546,130.002,-6.55,0.0414,3.8e-06,0.332,0.00379
49,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",70,75,0.421,0.161,0.407,139.028,-7.445,0.0267,0.000961,0.11,0.309
50,"['chicago rap', 'rap']",75,96,0.531,0.221,0.803,142.113,-3.284,0.0717,1.71e-05,0.176,0.0796
51,"['dance pop', 'pop', 'pop rap']",61,74,0.672,0.746,0.907,128.027,-5.069,0.0721,3.4e-05,0.156,0.0048
52,"['dance pop', 'hip pop', 'pop', 'pop r&b', 'post-teen pop', 'r&b', 'urban contemporary']",67,72,0.666,0.9,0.87,160.014,-5.004,0.246,0.0,0.0851,0.203
53,"['dance pop', 'pop', 'post-teen pop']",65,84,0.693,0.45,0.705,131.951,-5.747,0.0665,0.0,0.202,0.0228
54,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",64,63,0.606,0.362,0.497,130.739,-6.611,0.0277,0.0,0.275,0.348
55,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']",62,81,0.648,0.321,0.89,125.953,-3.982,0.0523,3.58e-06,0.116,0.0294
56,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",71,87,0.595,0.762,0.912,128.024,-3.428,0.0884,0.0,0.259,0.0434
57,"['indie pop', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']",79,70,0.56,0.371,0.936,112.96,-5.835,0.0439,0.0,0.161,0.00847
58,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",62,85,0.671,0.637,0.808,121.956,-4.861,0.0652,0.0,0.134,0.02
59,"['dance pop', 'neo mellow', 'pop', 'pop dance', 'pop rock', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']",60,71,0.843,0.876,0.881,110.621,-3.951,0.0581,0.0,0.0765,0.14
60,"['dance pop', 'hip hop', 'pop', 'r&b', 'urban contemporary']",77,82,0.684,0.498,0.607,81.001,-8.127,0.1,0.000307,0.191,0.0267
61,"['pop', 'uk pop']",74,96,0.642,0.407,0.289,84.996,-9.918,0.0367,0.0,0.18,0.669
62,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",57,76,0.663,0.375,0.843,140.036,-3.672,0.049,0.0,0.364,0.0491
63,"['dance pop', 'pop rap']",67,72,0.707,0.795,0.861,130.021,-4.225,0.316,0.0,0.191,0.1
64,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",75,71,0.76,0.361,0.595,131.497,-6.366,0.0391,0.0,0.241,0.00544
65,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",71,75,0.349,0.0886,0.348,74.541,-6.142,0.0316,0.0,0.12,0.726
66,"['chicago rap', 'conscious hip hop', 'gangster rap', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']",70,71,0.591,0.65,0.889,143.067,-3.839,0.115,0.0,0.155,0.0189
67,"['edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']",65,81,0.507,0.4,0.665,126.879,-7.598,0.0474,0.0,0.0759,0.0144
68,"['indie poptimism', 'pop']",61,88,0.54,0.258,0.856,153.071,-3.966,0.1,0.0,0.276,0.109
69,"['indietronica', 'modern rock', 'pop rock', 'rock']",82,76,0.733,0.965,0.71,127.975,-5.849,0.0292,0.115,0.0956,0.145
70,"['hip pop', 'pop rap', 'urban contemporary']",69,59,0.392,0.232,0.839,168.001,-1.921,0.193,0.0,0.3,0.158
71,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",53,90,0.415,0.536,0.775,127.898,-6.366,0.161,0.00431,0.0843,0.0658
72,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow']",63,73,0.593,0.332,0.639,142.881,-5.826,0.0307,0.0,0.0998,0.446
73,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",0,91,0.644,0.272,0.661,153.992,-6.093,0.0418,5.23e-06,0.108,0.000177
74,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']",62,87,0.779,0.759,0.963,127.941,-2.125,0.0399,0.493,0.664,0.0334
75,[],48,51,0.687,0.539,0.939,104.029,-4.372,0.146,0.0,0.283,0.0887
76,"['dance pop', 'hip house', 'house', 'pop dance', 'tropical house', 'uk dance']",42,64,0.578,0.188,0.857,126.979,-3.78,0.041,0.00162,0.0948,0.00548
77,"['permanent wave', 'pop']",69,92,0.425,0.333,0.732,117.98,-6.883,0.0396,0.0103,0.171,0.00194
78,['grime'],38,55,0.656,0.445,0.752,100.963,-5.522,0.0434,0.0,0.223,0.336
79,"['dancefloor dnb', 'drum and bass', 'house', 'pop dance', 'uk dance']",55,64,0.31,0.493,0.926,139.85,-1.131,0.0464,0.00792,0.483,0.0184
80,"['grime', 'instrumental grime', 'london rap', 'uk hip hop']",48,63,0.415,0.52,0.934,190.151,-2.914,0.24,0.0,0.145,0.078
81,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",74,98,0.636,0.425,0.566,151.894,-7.16,0.106,0.000353,0.0917,0.365
82,"['chicago rap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",71,80,0.7,0.594,0.598,160.041,-7.783,0.114,0.0,0.111,0.0369
83,['uk hip hop'],59,58,0.753,0.794,0.88,115.057,-4.689,0.0806,0.0,0.24,0.087
84,"['art pop', 'electropop', 'pop', 'swedish electropop', 'swedish indie pop', 'swedish pop']",51,73,0.786,0.285,0.709,122.019,-5.737,0.0395,0.00118,0.0845,0.0192
85,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",71,90,0.767,0.538,0.677,146.155,-6.128,0.184,5.51e-06,0.144,0.0339
86,"['neo mellow', 'neo soul', 'pop', 'pop rock']",64,68,0.537,0.161,0.611,105.955,-6.427,0.0304,0.0,0.146,0.229
87,"['dance pop', 'romanian house', 'romanian pop']",65,68,0.799,0.586,0.783,127.041,-3.896,0.0322,0.0186,0.0757,0.0346
88,"['baroque pop', 'pop', 'uk alternative pop']",62,80,0.527,0.221,0.804,107.486,-4.168,0.0358,0.0,0.105,0.0104
89,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",75,88,0.684,0.538,0.834,164.02,-4.524,0.0675,0.0,0.271,0.0646
90,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",68,87,0.813,0.731,0.732,130.02,-5.636,0.03,0.00137,0.0826,0.0597
91,"['pop', 'pop rock']",70,73,0.379,0.169,0.29,166.467,-8.485,0.051,0.00106,0.118,0.952
92,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']",76,73,0.507,0.272,0.729,105.013,-5.399,0.0393,1.4e-06,0.0658,0.0182
93,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",70,85,0.594,0.397,0.946,155.826,-4.521,0.452,0.0,0.306,0.0869
94,['neo-singer-songwriter'],60,48,0.597,0.128,0.115,111.202,-9.217,0.0334,0.000215,0.111,0.82
95,"['contemporary country', 'country', 'country road', 'modern country rock']",71,76,0.692,0.927,0.809,104.023,-5.935,0.0255,9.77e-05,0.185,0.1
96,"['atl hip hop', 'dance pop', 'hip pop', 'pop', 'pop r&b', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",64,71,0.744,0.266,0.672,140.889,-5.589,0.0418,0.000123,0.105,0.187
97,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",62,88,0.523,0.602,0.805,125.358,-5.473,0.192,0.0,0.0914,0.0524
98,"['contemporary country', 'country', 'country road', 'oklahoma country']",50,75,0.481,0.723,0.849,205.57,-5.131,0.0385,1.49e-06,0.121,0.00167
99,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",65,79,0.446,0.88,0.9,187.961,-3.541,0.0489,1.89e-05,0.0404,0.000102
100,"['hip hop', 'pittsburgh rap', 'rap']",61,88,0.636,0.836,0.901,162.994,-7.094,0.118,0.0,0.391,0.119
1,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",75,92,0.735,0.6,0.766,127.985,-4.485,0.0383,0.00138,0.108,0.025
2,"['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",78,75,0.783,0.66,0.58,120.021,-6.548,0.0408,2.28e-06,0.108,0.0114
3,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",75,72,0.378,0.735,0.638,184.086,-5.576,0.075,7.66e-05,0.0849,0.02
4,"['pop', 'pop rock']",82,90,0.743,0.545,0.752,110.015,-4.813,0.0414,0.0,0.287,0.0188
5,"['dance pop', 'pop', 'post-teen pop']",72,88,0.687,0.864,0.792,133.962,-4.023,0.0353,0.0,0.2,0.000802
6,"['boy band', 'pop', 'post-teen pop', 'talent show']",82,89,0.726,0.888,0.787,124.99,-2.494,0.0737,0.0,0.0596,0.009
7,"['dance pop', 'pop']",85,92,0.726,0.867,0.698,143.994,-4.165,0.0431,0.0,0.309,0.049
8,"['dance pop', 'neo mellow', 'pop', 'pop dance', 'pop rock', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']",0,71,0.762,0.965,0.863,106.008,-3.689,0.0565,0.0,0.125,0.015
9,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']",75,90,0.747,0.751,0.716,125.008,-2.457,0.075,0.0,0.251,0.135
10,"['indietronica', 'modern rock', 'pop', 'pop rock']",77,74,0.56,0.682,0.872,126.05,-4.269,0.14,6.98e-06,0.371,0.0239
11,"['dance pop', 'pop', 'post-teen pop']",71,85,0.651,0.569,0.695,123.008,-3.218,0.0487,0.0,0.144,0.23
12,['pop'],59,98,0.622,0.679,0.469,77.019,-6.798,0.0363,2.25e-06,0.0335,0.00454
13,"['dance pop', 'electropop', 'pop', 'post-teen pop']",77,82,0.711,0.801,0.7,128.001,-4.805,0.046,0.000125,0.215,0.00498
14,"['boy band', 'pop', 'post-teen pop', 'talent show']",0,89,0.658,0.936,0.837,126.015,-2.063,0.0543,0.0,0.0969,0.0629
15,"['dance pop', 'pop', 'post-teen pop']",73,88,0.678,0.769,0.918,130.028,-4.63,0.0355,0.0,0.0744,0.000417
16,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']",79,87,0.707,0.919,0.924,127.937,-2.842,0.031,0.00703,0.204,0.000972
17,"['canadian pop', 'pop']",63,96,0.717,0.331,0.55,96.979,-6.019,0.0519,0.00198,0.126,0.0358
18,['pop'],74,98,0.628,0.75,0.676,85.984,-5.911,0.0916,2.65e-05,0.121,0.00957
19,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",77,79,0.66,0.427,0.689,127.98,-2.671,0.0337,0.0,0.0922,0.0884
20,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'urban contemporary']",74,77,0.562,0.684,0.939,116.044,-4.282,0.0475,0.0,0.112,0.046
21,"['dance pop', 'pop']",73,92,0.576,0.476,0.835,150.017,-6.826,0.0486,0.0,0.082,0.337
22,"['modern alternative rock', 'modern rock', 'pop rock', 'rock']",79,71,0.471,0.725,0.924,154.961,-3.906,0.0586,0.0,0.313,0.00301
23,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'social media pop', 'talent show', 'viral pop']",66,67,0.696,0.573,0.893,97.954,-2.963,0.076,0.0,0.473,0.0662
24,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",74,76,0.758,0.781,0.557,126.986,-4.568,0.034,0.0,0.0418,0.0117
25,"['permanent wave', 'pop']",82,92,0.449,0.212,0.585,139.631,-6.761,0.0268,8.75e-05,0.0833,0.0509
26,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",76,83,0.608,0.437,0.86,127.075,-5.324,0.0554,0.0,0.262,0.0991
27,"['pop', 'pop rock']",73,90,0.716,0.618,0.821,92.997,-3.435,0.0314,0.0,0.0844,0.0558
28,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",70,92,0.719,0.444,0.847,127.963,-6.34,0.0916,0.0204,0.223,0.00201
29,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",74,87,0.67,0.648,0.855,120.05,-3.035,0.0499,0.0,0.335,0.0124
30,"['dance pop', 'neo mellow', 'pop', 'pop rock']",76,77,0.765,0.721,0.837,122.028,-3.113,0.032,1.06e-05,0.0801,0.00107
31,"['dance pop', 'pop']",76,84,0.674,0.552,0.628,103.998,-7.079,0.03,0.0,0.0944,0.00144
32,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",76,83,0.482,0.144,0.706,92.513,-5.762,0.0607,0.00106,0.105,0.135
33,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",50,79,0.69,0.849,0.897,140.05,-4.696,0.0506,0.0,0.108,0.0142
34,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",0,84,0.738,0.538,0.875,114.962,-3.141,0.127,0.000556,0.285,0.000673
35,"['canadian pop', 'pop']",67,96,0.571,0.613,0.873,139.691,-3.382,0.1,0.0,0.361,0.0811
36,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",79,91,0.604,0.301,0.787,126.062,-3.674,0.103,0.15,0.127,0.0679
37,"['dance pop', 'dance rock', 'europop']",68,75,0.715,0.879,0.791,116.043,-6.63,0.0414,0.0,0.0694,0.0368
38,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",74,92,0.564,0.393,0.71,91.972,-4.92,0.0461,0.0,0.109,0.00125
39,"['edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']",76,81,0.612,0.438,0.84,129.042,-3.145,0.0509,0.0,0.116,0.112
40,"['celtic rock', 'dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rock']",78,78,0.421,0.629,0.873,84.786,-4.343,0.0564,0.0,0.123,0.0654
41,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",77,83,0.747,0.739,0.937,103.976,-5.746,0.0453,0.0,0.29,0.0208
42,"['dance pop', 'electropop', 'post-teen pop', 'viral pop']",64,58,0.765,0.886,0.765,120.001,-2.732,0.0585,3.82e-06,0.0527,0.00765
43,"['dance pop', 'pop', 'r&b', 'urban contemporary']",69,82,0.658,0.248,0.677,124.91,-6.628,0.0393,0.0,0.368,0.248
44,['australian pop'],56,72,0.863,0.674,0.527,129.054,-6.896,0.0358,0.000168,0.107,0.607
45,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",68,71,0.637,0.68,0.732,128.108,-6.209,0.0965,0.0,0.498,0.244
46,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']",63,90,0.728,0.591,0.858,125.055,-3.686,0.0609,4.09e-06,0.0241,0.0403
47,"['british soul', 'pop', 'pop soul', 'uk pop']",0,90,0.612,0.574,0.748,120.052,-5.014,0.0445,0.0,0.167,0.617
48,"['boy band', 'pop', 'post-teen pop', 'talent show']",1,89,0.707,0.556,0.222,110.095,-11.716,0.0329,0.0,0.205,0.788
49,"['folk-pop', 'modern rock', 'neo mellow', 'pop rock']",68,67,0.664,0.501,0.642,118.002,-5.961,0.038,0.0,0.114,0.129
50,"['candy pop', 'dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'pop dance', 'swedish electropop', 'swedish synthpop']",51,71,0.71,0.86,0.901,125.953,-2.686,0.0296,1.34e-05,0.172,0.00828
51,"['edm', 'house', 'pop', 'uk dance']",74,78,0.503,0.521,0.727,121.985,-5.456,0.167,9.45e-05,0.0895,0.0159
52,"['dance pop', 'dancehall', 'pop', 'pop rap']",70,85,0.718,0.622,0.776,120.015,-5.208,0.0693,5.3e-06,0.207,0.000624
53,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",75,98,0.629,0.299,0.515,121.845,-10.358,0.265,1.22e-05,0.0888,0.0267
54,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",63,87,0.913,0.497,0.603,123.061,-4.892,0.226,0.000503,0.167,0.0272
55,"['dance pop', 'pop', 'post-teen pop']",65,88,0.514,0.575,0.683,159.814,-5.099,0.0367,2.64e-06,0.392,0.0749
56,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",70,75,0.421,0.161,0.407,139.028,-7.445,0.0267,0.000961,0.11,0.309
57,"['modern rock', 'rock']",74,93,0.631,0.755,0.924,100.045,-5.589,0.146,3.59e-06,0.084,0.0841
58,"['dance pop', 'pop']",66,84,0.597,0.729,0.919,113.991,-2.954,0.0439,0.0,0.282,0.000145
59,"['pop', 'talent show', 'uk pop']",75,83,0.376,0.302,0.695,169.533,-4.782,0.0933,0.0,0.11,0.135
60,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",77,87,0.715,0.531,0.655,95.078,-6.425,0.137,0.0,0.115,0.0525
61,"['dance pop', 'electropop', 'pop', 'post-teen pop']",0,82,0.558,0.286,0.781,126.025,-5.448,0.0963,0.00144,0.102,0.00657
62,"['acoustic pop', 'dance pop', 'neo mellow', 'pop', 'pop rock']",67,68,0.63,0.364,0.894,142.051,-4.592,0.0544,0.0,0.181,0.255
63,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",70,72,0.672,0.392,0.738,107.938,-7.045,0.0506,6.75e-05,0.0927,0.0178
64,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",65,91,0.704,0.412,0.793,127.96,-2.266,0.0591,0.0,0.575,0.0488
65,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",66,83,0.616,0.569,0.862,127.992,-5.18,0.0973,0.0,0.179,0.00117
66,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']",47,79,0.738,0.689,0.922,116.024,-3.94,0.0833,0.0,0.0986,0.0034
67,"['dance pop', 'neo mellow', 'pop', 'pop rock']",68,77,0.591,0.736,0.935,140.043,-2.664,0.0478,0.000278,0.142,0.000284
68,"['modern rock', 'rock']",70,93,0.656,0.86,0.884,105.009,-4.748,0.0372,0.0,0.144,0.0162
69,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",75,83,0.706,0.684,0.89,128.011,-4.444,0.0688,0.00286,0.306,0.0588
70,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",63,90,0.594,0.643,0.841,129.925,-5.792,0.102,2.22e-06,0.156,0.000238
71,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']",0,64,0.582,0.0694,0.894,125.946,-6.298,0.041,0.0223,0.0664,0.0022
72,"['dance pop', 'pop rap']",61,74,0.716,0.646,0.838,130.034,-4.289,0.0513,0.0,0.148,0.134
73,"['australian pop', 'australian talent show']",0,65,0.61,0.508,0.863,83.993,-2.632,0.206,0.0,0.097,0.186
74,"['dance pop', 'pop', 'pop rap', 'urban contemporary']",0,81,0.797,0.716,0.867,127.974,-5.242,0.0696,2.79e-06,0.0868,0.0158
75,"['folk-pop', 'pop', 'pop rock', 'stomp and holler']",74,81,0.682,0.421,0.471,79.907,-9.182,0.0301,0.0,0.0908,0.765
76,"['dance pop', 'edm', 'pop', 'pop dance']",77,85,0.584,0.464,0.889,126.04,-5.941,0.0343,0.828,0.309,0.0462
77,"['baroque pop', 'pop', 'uk alternative pop']",67,80,0.578,0.588,0.946,126.092,-3.85,0.0482,0.00412,0.0966,0.00225
78,"['british soul', 'pop', 'pop soul', 'uk pop']",74,90,0.346,0.0789,0.552,75.881,-6.864,0.0282,0.0,0.114,0.417
