Rank,artist_genres,track_popularity,artist_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo,prop_loudness,prop_speechiness,prop_instrumentalness,context_liveness,context_acousticness
69,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",76,93,0.571,0.393,0.693,168.169,-8.234,0.0545,0.0,0.173,0.00536
70,['tropical house'],77,69,0.674,0.33,0.774,112.05,-7.567,0.0892,0.00188,0.393,0.0686
71,"['dance pop', 'pop', 'uk pop']",74,94,0.647,0.746,0.844,146.967,-3.756,0.0457,0.000658,0.102,0.0137
72,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",76,89,0.783,0.558,0.727,180.067,-3.454,0.389,2.46e-05,0.0626,0.185
73,"['alt z', 'canadian contemporary r&b', 'pop']",78,73,0.464,0.604,0.473,75.801,-10.086,0.129,0.0,0.109,0.866
74,"['dance pop', 'pop', 'pop rap']",44,84,0.723,0.684,0.704,105.095,-7.088,0.0571,0.00109,0.792,0.0259
75,"['art pop', 'dance pop', 'pop']",66,88,0.752,0.784,0.87,120.006,-3.812,0.0623,1.12e-05,0.489,0.0604
76,"['chicago rap', 'melodic rap']",0,95,0.65,0.0804,0.613,149.972,-6.13,0.128,0.0,0.267,0.00336
77,"['alt z', 'electropop', 'pop']",79,83,0.68,0.446,0.729,123.97,-5.077,0.0475,0.0,0.224,0.612
78,"['pop', 'pop r&b']",72,90,0.79,0.508,0.694,103.007,-7.726,0.0708,0.00252,0.281,0.145
79,"['dfw rap', 'melodic rap', 'rap']",79,91,0.755,0.925,0.522,89.96,-4.368,0.0575,0.0,0.0685,0.533
80,"['k-pop', 'k-pop girl group']",64,84,0.79,0.904,0.729,159.989,-3.843,0.334,9.31e-05,0.0411,0.0342
81,"['art pop', 'electropop', 'pop']",83,93,0.701,0.562,0.425,135.128,-10.965,0.375,0.13,0.1,0.328
82,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",77,90,0.755,0.581,0.578,94.148,-8.932,0.145,0.0,0.25,0.316
83,"['canadian pop', 'dance pop', 'pop', 'viral pop']",72,90,0.333,0.132,0.637,139.898,-4.904,0.0581,1.8e-05,0.149,0.131
84,['r&b en espanol'],71,89,0.776,0.485,0.509,94.634,-6.266,0.467,1.49e-06,0.115,0.192
85,"['pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary']",70,80,0.43,0.731,0.7,158.373,-5.35,0.264,0.0,0.216,0.0902
86,"['boy band', 'dance pop', 'pop', 'post-teen pop']",70,80,0.852,0.324,0.698,113.039,-7.206,0.0629,1.03e-06,0.0773,0.00839
87,"['k-pop', 'k-pop girl group']",72,84,0.654,0.448,0.707,127.97,-5.661,0.0664,0.0,0.0873,0.00559
88,"['art pop', 'dance pop', 'pop']",31,88,0.676,0.796,0.815,117.973,-4.294,0.0625,0.00041,0.275,0.00146
89,"['bedroom pop', 'pop']",84,84,0.357,0.27,0.425,102.078,-7.301,0.0333,0.0,0.322,0.584
90,"['latin', 'reggaeton', 'trap latino']",80,100,0.607,0.685,0.829,96.172,-4.074,0.379,0.0,0.107,0.0103
91,"['hip hop', 'rap', 'slap house', 'trap']",81,92,0.598,0.0605,0.427,76.469,-8.764,0.0317,5.83e-06,0.21,0.0546
92,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",79,85,0.789,0.753,0.711,112.985,-4.248,0.041,0.0,0.0876,0.0332
93,"['hip hop', 'pittsburgh rap', 'rap']",75,88,0.794,0.241,0.32,174.088,-12.92,0.173,0.134,0.112,0.853
94,"['art pop', 'electropop', 'pop']",71,93,0.444,0.0875,0.309,104.745,-10.956,0.062,0.132,0.352,0.795
95,"['canadian pop', 'dance pop', 'pop', 'viral pop']",78,90,0.759,0.749,0.548,116.967,-6.049,0.029,0.0,0.0828,0.0392
96,"['dance pop', 'pop', 'uk pop']",62,86,0.501,0.152,0.674,155.051,-6.363,0.0408,3.56e-05,0.282,0.00346
97,"['lgbtq+ hip hop', 'pop']",75,89,0.81,0.837,0.511,151.947,-6.924,0.164,0.0,0.0832,0.12
98,"['hip hop', 'rap', 'slap house', 'trap']",83,92,0.841,0.43,0.728,130.049,-3.37,0.0484,0.0,0.149,0.0847
99,['brooklyn drill'],78,88,0.48,0.269,0.602,179.798,-6.335,0.368,0.0,0.0848,0.487
100,"['dance pop', 'pop']",78,93,0.789,0.661,0.742,116.965,-5.664,0.0652,0.0,0.166,0.0681
1,['pop'],30,91,0.556,0.668,0.661,168.56,-5.052,0.204,0.0,0.101,0.3
2,"['dance pop', 'pop']",68,92,0.586,0.719,0.616,148.088,-7.964,0.0324,0.0,0.0927,0.182
3,"['indie rock italiano', 'italian pop']",86,82,0.714,0.589,0.8,134.002,-4.808,0.0504,0.0,0.359,0.127
4,"['dance pop', 'pop']",83,94,0.762,0.742,0.701,110.968,-3.541,0.0286,0.000158,0.123,0.235
5,"['dance pop', 'pop']",81,93,0.83,0.485,0.585,109.978,-6.476,0.094,0.0,0.248,0.237
6,['k-pop'],82,77,0.831,0.396,0.554,140.026,-9.998,0.218,6.12e-05,0.152,0.161
7,"['lgbtq+ hip hop', 'pop']",80,89,0.61,0.758,0.508,178.818,-6.682,0.152,0.0,0.384,0.297
8,['australian hip hop'],80,75,0.778,0.472,0.695,149.996,-6.865,0.0913,0.0,0.15,0.175
9,"['pop', 'uk pop']",38,96,0.808,0.591,0.897,126.026,-3.712,0.0348,3.14e-05,0.364,0.0469
10,"['colombian pop', 'dance pop', 'pop', 'r&b']",82,85,0.653,0.553,0.524,83.97,-9.016,0.0502,0.0,0.203,0.112
11,"['pop', 'r&b']",81,87,0.436,0.412,0.655,121.002,-8.37,0.0583,8.1e-06,0.688,0.499
12,"['dance pop', 'pop']",91,94,0.824,0.881,0.764,107.998,-4.175,0.0854,0.00294,0.117,0.0888
13,['pop'],30,91,0.585,0.132,0.436,143.874,-8.761,0.0601,1.31e-05,0.105,0.721
14,"['canadian pop', 'pop']",86,96,0.677,0.464,0.696,90.03,-6.181,0.119,0.0,0.42,0.321
