,track_name,artist_name,album_name,artist_genres,track_popularity,artist_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo,prop_loudness,prop_speechiness,prop_instrumentalness,context_liveness,context_acousticness
78,On A Roll,Ashley O,On A Roll,[],57,48,0.736,0.387,0.81,125.011,-6.354,0.0906,0.0,0.0523,0.077
79,Sorry,Joel Corry,Sorry,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",63,82,0.744,0.847,0.79,125.002,-4.617,0.0562,0.000802,0.32,0.0547
80,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,Hoodie SZN,"['melodic rap', 'rap', 'trap']",75,86,0.581,0.434,0.662,93.023,-5.239,0.303,0.0,0.111,0.0153
81,emotions,iann dior,nothings ever good enough,"['melodic rap', 'pop rap']",71,83,0.63,0.163,0.63,80.512,-6.211,0.0395,0.0,0.142,0.0131
82,Keisha & Becky - Remix,Russ Millions,Keisha & Becky (Remix),['uk drill'],68,77,0.863,0.644,0.471,140.969,-9.545,0.478,0.0,0.121,0.251
83,Take Me Back to London (feat. Stormzy),Ed Sheeran,No.6 Collaborations Project,"['pop', 'uk pop']",66,96,0.885,0.605,0.762,138.058,-5.513,0.216,0.0,0.162,0.219
84,Wish You Well,Sigala,Wish You Well,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']",63,78,0.669,0.576,0.895,124.975,-3.787,0.0575,0.0,0.297,0.128
85,All Day And Night,Jax Jones,All Day And Night (Jax Jones & Martin Solveig Present Europa),"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'tropical house', 'uk dance']",59,80,0.585,0.521,0.782,121.908,-4.101,0.0897,0.0,0.156,0.269
86,My Type,Saweetie,ICY,"['cali rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'trap queen']",71,80,0.899,0.587,0.811,105.038,-6.294,0.258,0.0,0.0672,0.000677
87,Look Back at It,A Boogie Wit da Hoodie,Hoodie SZN,"['melodic rap', 'rap', 'trap']",73,86,0.791,0.536,0.587,96.057,-5.075,0.0413,0.0,0.148,0.407
88,Strike a Pose (feat. Aitch),Young T & Bugsey,Strike a Pose (feat. Aitch),"['afroswing', 'nottingham hip hop', 'uk hip hop']",61,66,0.531,0.591,0.581,137.776,-5.801,0.101,1.62e-05,0.101,0.0107
89,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,"['australian pop', 'pop']",78,78,0.824,0.513,0.588,98.027,-6.4,0.0924,0.000104,0.149,0.692
90,Ladbroke Grove,AJ Tracey,AJ Tracey,"['grime', 'uk hip hop', 'ukg revival']",69,76,0.903,0.727,0.839,133.986,-9.447,0.208,0.0,0.102,0.0939
91,Pop Out (feat. Lil Tjay),Polo G,Die A Legend,['chicago rap'],77,90,0.772,0.261,0.639,168.112,-7.119,0.467,0.0,0.0698,0.15
92,Ride It,Regard,Ride It,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']",80,77,0.88,0.884,0.751,117.948,-4.258,0.0874,6.43e-05,0.106,0.177
93,Light On,Maggie Rogers,Heard It In A Past Life,"['indie pop', 'pop']",67,70,0.657,0.399,0.569,102.054,-6.287,0.0542,1.38e-05,0.126,0.201
94,EARFQUAKE,"Tyler, The Creator",IGOR,"['hip hop', 'rap']",80,90,0.554,0.413,0.498,79.635,-8.866,0.0685,5.98e-06,0.795,0.23
95,Old Town Road,Lil Nas X,7 EP,"['lgbtq+ hip hop', 'pop']",75,89,0.907,0.507,0.53,135.998,-6.112,0.127,2.23e-06,0.101,0.0578
96,Outnumbered,Dermot Kennedy,Outnumbered,"['folk-pop', 'irish pop', 'pop']",66,77,0.614,0.258,0.684,156.85,-5.79,0.157,0.0,0.0976,0.247
97,Options,NSG,Roots,"['afro dancehall', 'afroswing', 'uk dancehall', 'uk hip hop']",56,64,0.836,0.762,0.621,101.993,-4.684,0.0894,9.16e-05,0.104,0.389
98,SICKO MODE,Travis Scott,ASTROWORLD,"['hip hop', 'rap', 'slap house', 'trap']",81,92,0.834,0.446,0.73,155.008,-3.714,0.222,0.0,0.124,0.00513
99,Doin' Time,Lana Del Rey,Norman Fucking Rockwell!,"['art pop', 'pop']",79,89,0.641,0.523,0.559,144.982,-11.132,0.0355,0.00402,0.0937,0.404
100,Con Calma,Daddy Yankee,Con Calma,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",78,94,0.737,0.656,0.86,93.989,-2.652,0.0593,1.94e-06,0.0574,0.11
